Machine,Type Of Failure,Defect Code,Microstop Description,Type,Declaration Start Time,Call Maintenance Time,Intervention Start Time,Declaration End Time,Down Time,Delay Time,Operator ID,Maintenance ID,Comment,Serial Device,Down Time (min),Delay Time (min),Reaction Time (min),Waiting Time (min),Intervention Time (min),Total Maintenance Time (min),Hour,Shift,Comment_Clean
KOMAX_2,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 13:19:44,2025-04-06 18:14:11,2025-04-06 18:14:22,2025-04-06 18:28:28.730,00:14:17,00:00:11,4980,4980,demarrage,0000,14.28,0.18,1734.45,0.18,14.11,14.3,13.0,Matin,DEMARRAGE
KOMAX_8,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 19:52:33,2025-04-06 18:26:53,2025-04-06 18:26:56,2025-04-06 18:28:03.340,00:01:10,00:00:03,4980,4980,demarrage,53639,1.17,0.05,1354.33,0.05,1.12,1.17,19.0,Après-midi,DEMARRAGE
KOMAX_10,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 19:47:24,2025-04-06 18:31:03,2025-04-06 18:31:09,2025-04-06 18:33:35.740,00:02:32,00:00:06,91668,4980,demarrage,54200,2.53,0.1,1363.65,0.1,2.45,2.55,19.0,Après-midi,DEMARRAGE
KOMAX_11,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 19:57:31,2025-04-06 18:32:27,2025-04-06 18:32:29,2025-04-06 18:33:00.617,00:00:33,00:00:02,28771,4980,demarrage,54220,0.55,0.03,1354.93,0.03,0.53,0.56,19.0,Après-midi,DEMARRAGE
KOMAX_12,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 19:51:25,2025-04-06 18:35:05,2025-04-06 18:35:08,2025-04-06 18:35:48.987,00:00:43,00:00:03,18552,4980,dwmarrage,53823,0.72,0.05,1363.67,0.05,0.68,0.73,19.0,Après-midi,DWMARRAGE
KOMAX_13,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 19:58:05,2025-04-06 18:36:44,2025-04-06 18:36:47,2025-04-06 18:37:30.017,00:00:46,00:00:03,4980,4980,demarrage,54214,0.77,0.05,1358.65,0.05,0.72,0.77,19.0,Après-midi,DEMARRAGE
KOMAX_1,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 14:58:26,2025-04-06 19:11:23,2025-04-06 19:11:38,2025-04-06 19:13:07.533,00:01:44,00:00:15,9665,4980,demarrage,54241,1.73,0.25,1692.95,0.25,1.49,1.74,14.0,Après-midi,DEMARRAGE
KOMAX_7,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 07:56:16,2025-04-06 19:21:47,2025-04-06 19:22:03,2025-04-06 19:26:05.600,00:04:18,00:00:16,4980,4980,demarrage,53824,4.3,0.27,2125.52,0.27,4.04,4.31,7.0,Matin,DEMARRAGE
KOMAX_9,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 21:47:04,2025-04-06 19:29:32,2025-04-06 19:29:35,2025-04-06 19:33:22.917,00:03:50,00:00:03,4980,4980,demarrage,53408,3.83,0.05,1302.47,0.05,3.8,3.85,21.0,Après-midi,DEMARRAGE
KOMAX_18,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-06 23:21:23,2025-04-06 23:21:30,2025-04-06 23:28:51,2025-04-07 00:11:58.100,00:50:28,00:07:21,19347,976,chang inseres de goulotte interieur + rg pression ,INCONNU,50.47,7.35,0.12,7.35,43.12,50.47,23.0,Nuit,CHANGEMENT INSERES DE GOULOTTE INTERIEUR + REGLAGE PRESSION
KOMAX_6,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-07 18:46:21,2025-04-07 18:46:30,2025-04-07 18:53:19,2025-04-07 19:02:41.457,00:16:11,00:06:49,95186,238,centrage cx sur lenclime+ajustement la table+essai,LS31118,16.18,6.82,0.15,6.82,9.37,16.19,18.0,Après-midi,CENTRAGE CONNEXION SUR LENCLIME+AJUSTEMENT LA TABLE+ESSAI
KOMAX_62,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-08 01:35:57,2025-04-08 01:36:02,2025-04-08 01:39:31,2025-04-08 01:41:38.113,00:05:36,00:03:29,28762,831,RAS,INCONNU,5.6,3.48,0.08,3.48,2.12,5.6,1.0,Nuit,RIEN A SIGNALER
KOMAX_49,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-08 13:13:51,2025-04-08 13:15:01,2025-04-08 13:17:14,2025-04-08 13:21:23.970,00:06:22,00:02:13,28766,1613,reglage appui pr + reglage tige ,ls52788,6.37,2.22,1.17,2.22,4.17,6.38,13.0,Matin,REGLAGE APPUI PROBLEME + REGLAGE TIGE
KOMAX_39,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-08 23:55:57,2025-04-08 23:56:00,2025-04-08 23:59:32,2025-04-09 00:02:12.807,00:06:12,00:03:32,16835,4980,reg avancement,LS52811,6.2,3.53,0.05,3.53,2.68,6.21,23.0,Nuit,REGLAGE AVANCEMENT
KOMAX_45,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-09 04:20:03,2025-04-09 04:20:11,2025-04-09 04:22:08,2025-04-09 04:23:44.807,00:03:33,00:01:57,22103,974,raccordement cable communication,na,3.55,1.95,0.13,1.95,1.61,3.56,4.0,Nuit,RACCORDEMENT CABLE COMMUNICATION
KOMAX_58,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-10 03:47:39,2025-04-10 03:47:43,2025-04-10 03:52:00,2025-04-10 03:56:14.273,00:08:31,00:04:17,28862,4980,reg avancement,LS50022,8.52,4.28,0.07,4.28,4.24,8.52,3.0,Nuit,REGLAGE AVANCEMENT
KOMAX_48,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-10 10:06:37,2025-04-10 10:07:02,2025-04-10 10:10:58,2025-04-10 10:29:29.577,00:22:27,00:03:56,97962,6222,mise a jour windows + reset micrometre,na,22.45,3.93,0.42,3.93,18.53,22.46,10.0,Matin,MISE A JOUR WINDOWS + RESET MICROMETRE
KOMAX_20,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-10 23:12:19,2025-04-10 23:12:22,2025-04-10 23:13:22,2025-04-10 23:15:11.083,00:02:49,00:01:00,22048,831,RAS,INCONNU,2.82,1.0,0.05,1.0,1.82,2.82,23.0,Nuit,RIEN A SIGNALER
KOMAX_7,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 00:35:01,2025-04-11 00:35:04,2025-04-11 00:38:24,2025-04-11 00:40:37.060,00:05:33,00:03:20,99786,974,raccordement cable communication,na,5.55,3.33,0.05,3.33,2.22,5.55,0.0,Nuit,RACCORDEMENT CABLE COMMUNICATION
KOMAX_1,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 01:02:49,2025-04-11 01:03:01,2025-04-11 01:10:20,2025-04-11 01:20:40.340,00:17:39,00:07:19,9665,831,chgt port communication,INCONNU,17.65,7.32,0.2,7.32,10.34,17.66,1.0,Nuit,CHANGEMENT PORT COMMUNICATION
KOMAX_34,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 02:32:08,2025-04-11 02:32:14,2025-04-11 02:34:58,2025-04-11 02:36:56.980,00:04:42,00:02:44,19440,831,ras,INCONNU,4.7,2.73,0.1,2.73,1.98,4.72,2.0,Nuit,RIEN A SIGNALER
KOMAX_45,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 02:36:23,2025-04-11 02:37:58,2025-04-11 02:47:31,2025-04-11 02:53:52.063,00:15:54,00:09:33,22103,4980,reg avancement,LS73727,15.9,9.55,1.58,9.55,6.35,15.9,2.0,Nuit,REGLAGE AVANCEMENT
KOMAX_21,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 08:40:26,2025-04-11 08:47:23,2025-04-11 08:57:43,2025-04-11 09:00:00.887,00:12:37,00:10:20,99766,3346,reset port,INCONNU,12.62,10.33,6.95,10.33,2.3,12.63,8.0,Matin,RESET PORT
KOMAX_19,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-11 19:26:05,2025-04-11 19:31:25,2025-04-11 19:35:30,2025-04-11 19:37:41.673,00:06:16,00:04:05,18805,3377,reset 24v,INCONNU,6.27,4.08,5.33,4.08,2.19,6.28,19.0,Après-midi,RESET 24V
KOMAX_43,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-11 23:51:54,2025-04-11 23:51:59,2025-04-11 23:54:49,2025-04-11 23:58:59.807,00:07:00,00:02:50,17990,831,RAS,INCONNU,7.0,2.83,0.08,2.83,4.18,7.01,23.0,Nuit,RIEN A SIGNALER
KOMAX_41,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 03:47:55,2025-04-12 03:47:56,2025-04-12 03:50:50,2025-04-12 03:55:38.390,00:07:42,00:02:54,22082,4980,chg rossort guide cout,LS109285,7.7,2.9,0.02,2.9,4.81,7.71,3.0,Nuit,CHANGEMENT ROSSORT GUIDE COUTEAU
KOMAX_53,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 05:03:03,2025-04-12 05:03:08,2025-04-12 05:04:48,2025-04-12 05:06:10.580,00:03:02,00:01:40,92138,831,AUCUN COMMENTAIRE,INCONNU,3.03,1.67,0.08,1.67,1.38,3.04,5.0,Nuit,AUCUN COMMENTAIRE
KOMAX_4,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 07:01:29,2025-04-12 07:01:32,2025-04-12 07:09:23,2025-04-12 07:18:33.447,00:17:01,00:07:51,21939,3346,montage d un vis + ecrou pour fixer le lever ,INCONNU,17.02,7.85,0.05,7.85,9.17,17.02,7.0,Matin,MONTAGE D UN VIS + ECROU POUR FIXER LE LEVER
KOMAX_47,APPAREILS QUALITE,Q03,P-Loupe / Microscope,Maintenance,2025-04-12 13:19:31,2025-04-12 13:19:34,2025-04-12 13:24:41,2025-04-12 13:26:16.970,00:06:42,00:05:07,22102,5683,RACCORDEMENT DE CABLE,INCONNU,6.7,5.12,0.05,5.12,1.6,6.72,13.0,Matin,RACCORDEMENT DE CABLE
KOMAX_41,APPAREILS QUALITE,Q09,P-Autres de qualité,Maintenance,2025-04-12 16:59:08,2025-04-12 16:59:24,2025-04-12 17:07:13,2025-04-12 17:33:31.620,00:34:07,00:07:49,25059,3377,permitation i;priment citizne,INCONNU,34.12,7.82,0.27,7.82,26.31,34.13,16.0,Après-midi,PERMITATION I;PRIMENT CITIZNE
KOMAX_52,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 18:32:39,2025-04-12 18:33:59,2025-04-12 18:36:18,2025-04-12 18:40:24.623,00:06:25,00:02:19,27288,5833,reg cliquet,ls105790,6.42,2.32,1.33,2.32,4.11,6.43,18.0,Après-midi,REGLAGE CLIQUET
KOMAX_25,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 18:54:47,2025-04-12 18:54:51,2025-04-12 19:01:38,2025-04-12 19:40:07.630,00:45:16,00:06:47,28770,3377,centrage le jet et rancage la buse + reg para,53906,45.27,6.78,0.07,6.78,38.49,45.28,18.0,Après-midi,CENTRAGE LE JET ET RANCAGE LA BUSE MARQUAGE + REGLAGE PARAMETRES
KOMAX_14,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-12 19:49:47,2025-04-13 18:02:09,2025-04-13 18:02:18,2025-04-13 18:56:09.327,00:54:00,00:00:09,0000,1613,AUCUN COMMENTAIRE,0,54.0,0.15,1332.37,0.15,53.86,54.01,19.0,Après-midi,AUCUN COMMENTAIRE
KOMAX_19,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-14 01:35:38,2025-04-14 01:35:42,2025-04-14 01:38:20,2025-04-14 01:40:32.967,00:04:50,00:02:38,97148,830,confi aap arrch,INCONNU,4.83,2.63,0.07,2.63,2.22,4.85,1.0,Nuit,CONFI AAP ARRCH
KOMAX_11,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-14 06:36:27,2025-04-14 06:36:36,2025-04-14 06:46:24,2025-04-14 06:55:25.637,00:18:49,00:09:48,91407,3377,rancage la buse et centrage,54220,18.82,9.8,0.15,9.8,9.03,18.83,6.0,Matin,RANCAGE LA BUSE MARQUAGE ET CENTRAGE
KOMAX_24,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-14 15:04:15,2025-04-14 15:04:24,2025-04-14 15:05:17,2025-04-14 15:11:46.357,00:07:22,00:00:53,99615,976,redemarrage pc + param ,INCONNU,7.37,0.88,0.15,0.88,6.49,7.37,15.0,Après-midi,REDEMARRAGE PC + PARAMETRES
KOMAX_39,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-14 15:12:38,2025-04-14 15:13:59,2025-04-14 15:18:05,2025-04-14 15:19:25.580,00:05:26,00:04:06,16835,4980,reg avancemwnt,LS73727,5.43,4.1,1.35,4.1,1.34,5.44,15.0,Après-midi,REGLAGE AVANCEMWNT
KOMAX_37,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-14 15:49:31,2025-04-14 15:49:39,2025-04-14 15:51:23,2025-04-14 15:55:26.183,00:05:47,00:01:44,20418,976,chang kit ,24903,5.78,1.73,0.13,1.73,4.05,5.79,15.0,Après-midi,CHANGEMENT KIT-JOINT
KOMAX_35,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-14 16:16:02,2025-04-14 16:16:08,2025-04-14 16:20:54,2025-04-14 16:33:41.097,00:17:33,00:04:46,21499,831,reconfiguration de micrometre,INCONNU,17.55,4.77,0.1,4.77,12.78,17.55,16.0,Après-midi,RECONFIGURATION DE MICROMETRE
KOMAX_13,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-15 07:52:39,2025-04-15 07:52:42,2025-04-15 08:00:25,2025-04-15 08:02:07.503,00:09:25,00:07:43,28769,3377,reset 24v,INCONNU,9.42,7.72,0.05,7.72,1.71,9.43,7.0,Matin,RESET 24V
KOMAX_14,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-15 14:12:08,2025-04-15 14:12:13,2025-04-15 14:18:25,2025-04-15 14:23:16.040,00:11:03,00:06:12,28857,831,reconfiguration de micrometre,INCONNU,11.05,6.2,0.08,6.2,4.85,11.05,14.0,Après-midi,RECONFIGURATION DE MICROMETRE
KOMAX_50,APPAREILS QUALITE,Q05,P-Camèra Q12XX,Maintenance,2025-04-15 15:41:34,2025-04-15 15:41:38,2025-04-15 15:43:50,2025-04-15 15:49:48.053,00:08:10,00:02:12,82933,831,desinstallation camera,INCONNU,8.17,2.2,0.07,2.2,5.97,8.17,15.0,Après-midi,DESINSTALLATION CAMERA
KOMAX_58,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-15 16:05:53,2025-04-15 16:07:51,2025-04-15 16:12:05,2025-04-15 16:21:34.027,00:13:43,00:04:14,28862,4980,chg rossort guide cout+ajustement la table,LS90880S2,13.72,4.23,1.97,4.23,9.48,13.72,16.0,Après-midi,CHANGEMENT ROSSORT GUIDE COUTEAU+AJUSTEMENT LA TABLE
KOMAX_16,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-16 16:19:36,2025-04-16 16:22:32,2025-04-16 16:31:38,2025-04-16 16:36:02.897,00:13:30,00:09:06,28867,4980,reg bellmouth+avancement,LS109125,13.5,9.1,2.93,9.1,4.41,13.51,16.0,Après-midi,REGLAGE BELLMOUTH TÉMOIN+AVANCEMENT
KOMAX_13,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-16 16:25:12,2025-04-16 16:25:18,2025-04-16 16:29:49,2025-04-16 16:31:52.547,00:06:34,00:04:31,21099,974,raccordement cable communication,na,6.57,4.52,0.1,4.52,2.06,6.58,16.0,Après-midi,RACCORDEMENT CABLE COMMUNICATION
KOMAX_5,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-16 17:18:02,2025-04-16 17:18:07,2025-04-16 17:39:18,2025-04-16 17:43:08.903,00:25:01,00:21:11,90710,831,RAS,INCONNU,25.02,21.18,0.08,21.18,3.85,25.03,17.0,Après-midi,RIEN A SIGNALER
KOMAX_60,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-17 09:00:09,2025-04-17 09:20:18,2025-04-17 09:20:22,2025-04-17 09:21:57.407,00:01:39,00:00:04,93121,6032,rg position,ls78114,1.65,0.07,20.15,0.07,1.59,1.66,9.0,Matin,REGLAGE POSITION
KOMAX_29,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-17 10:31:35,2025-04-17 10:31:42,2025-04-17 10:35:15,2025-04-17 11:14:44.113,00:43:02,00:03:33,28769,3377,pb comunication ,INCONNU,43.03,3.55,0.12,3.55,39.49,43.04,10.0,Matin,PROBLEME COMUNICATION
KOMAX_38,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-17 14:48:32,2025-04-17 14:48:36,2025-04-17 14:56:11,2025-04-17 14:58:35.880,00:09:59,00:07:35,24896,6295,reglage temoin -reglage bell mouth -essai,LS56261,9.98,7.58,0.07,7.58,2.41,10.0,14.0,Après-midi,REGLAGE TEMOIN REGLAGE BELLMOUTH TÉMOIN MOUTH ESSAI
KOMAX_54,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-17 15:25:11,2025-04-17 15:25:18,2025-04-17 15:34:56,2025-04-17 15:37:00.770,00:11:42,00:09:38,25287,831,RAS,INCONNU,11.7,9.63,0.12,9.63,2.08,11.71,15.0,Après-midi,RIEN A SIGNALER
KOMAX_31,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-17 18:31:17,2025-04-17 18:31:30,2025-04-17 18:37:25,2025-04-17 18:37:36.577,00:06:06,00:05:55,92138,831,RAS,INCONNU,6.1,5.92,0.22,5.92,0.19,6.11,18.0,Après-midi,RIEN A SIGNALER
KOMAX_1,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-17 18:58:36,2025-04-17 18:58:40,2025-04-17 19:05:58,2025-04-17 19:09:19.480,00:10:39,00:07:18,9665,4980,reg avancement,LS22785,10.65,7.3,0.07,7.3,3.36,10.66,18.0,Après-midi,REGLAGE AVANCEMENT
KOMAX_35,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-18 18:16:36,2025-04-18 18:17:07,2025-04-18 18:21:54,2025-04-18 18:23:10.497,00:06:03,00:04:47,28772,831,RAS,INCONNU,6.05,4.78,0.52,4.78,1.27,6.06,18.0,Après-midi,RIEN A SIGNALER
KOMAX_25,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-18 18:47:43,2025-04-18 18:47:46,2025-04-18 18:53:40,2025-04-18 18:56:41.297,00:08:55,00:05:54,91713,831,pb separateur,INCONNU,8.92,5.9,0.05,5.9,3.02,8.92,18.0,Après-midi,PROBLEME SEPARATEUR
KOMAX_20,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 01:22:40,2025-04-19 01:22:44,2025-04-19 01:25:20,2025-04-19 01:27:52.097,00:05:08,00:02:36,91327,830,reset,INCONNU,5.13,2.6,0.07,2.6,2.53,5.13,1.0,Nuit,RESET
KOMAX_41,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 07:32:28,2025-04-19 07:33:50,2025-04-19 07:49:56,2025-04-19 07:53:34.377,00:19:44,00:16:06,25059,831,RAS,INCONNU,19.73,16.1,1.37,16.1,3.64,19.74,7.0,Matin,RIEN A SIGNALER
KOMAX_52,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 09:28:05,2025-04-19 09:30:16,2025-04-19 09:35:28,2025-04-19 09:48:16.103,00:18:00,00:05:12,27288,6032,rg position+presse+redresseu+vt rebot2,ls5251876,18.0,5.2,2.18,5.2,12.8,18.0,9.0,Matin,REGLAGE POSITION+PRESSE+REDRESSEU+VT REBOT2
KOMAX_15,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 12:29:14,2025-04-19 12:29:18,2025-04-19 12:34:20,2025-04-19 12:34:26.487,00:05:08,00:05:02,94901,831,AUCUN COMMENTAIRE,INCONNU,5.13,5.03,0.07,5.03,0.11,5.14,12.0,Matin,AUCUN COMMENTAIRE
KOMAX_15,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 18:52:48,2025-04-19 18:52:59,2025-04-19 18:56:01,2025-04-19 19:04:00.717,00:11:01,00:03:02,95184,4980,reg bellmouth+avancement,LS52804,11.02,3.03,0.18,3.03,8.0,11.03,18.0,Après-midi,REGLAGE BELLMOUTH TÉMOIN+AVANCEMENT
KOMAX_15,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-19 19:08:19,2025-04-19 19:10:00,2025-04-19 19:10:26,2025-04-19 19:19:57.337,00:09:57,00:00:26,95184,4980,chg decliquet,LS52804,9.95,0.43,1.68,0.43,9.52,9.96,19.0,Après-midi,CHANGEMENT DECLIQUET
KOMAX_45,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-21 07:57:30,2025-04-21 07:59:20,2025-04-21 08:05:45,2025-04-21 08:07:46.053,00:08:26,00:06:25,22103,831,ras,INCONNU,8.43,6.42,1.83,6.42,2.02,8.43,7.0,Matin,RIEN A SIGNALER
KOMAX_8,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-21 14:46:57,2025-04-21 14:47:11,2025-04-21 14:49:07,2025-04-21 14:59:43.960,00:12:32,00:01:56,92383,6222,reset,na,12.53,1.93,0.23,1.93,10.62,12.55,14.0,Après-midi,RESET
KOMAX_45,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-22 06:24:54,2025-04-22 06:25:01,2025-04-22 06:30:19,2025-04-22 06:30:45.880,00:05:44,00:05:18,22103,831,ras,INCONNU,5.73,5.3,0.12,5.3,0.45,5.75,6.0,Matin,RIEN A SIGNALER
KOMAX_17,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-22 11:44:27,2025-04-22 11:45:48,2025-04-22 11:47:38,2025-04-22 11:54:45.070,00:08:57,00:01:50,22178,831,reg parametre,INCONNU,8.95,1.83,1.35,1.83,7.12,8.95,11.0,Matin,REGLAGE PARAMETRE
KOMAX_45,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-23 07:34:46,2025-04-23 07:34:49,2025-04-23 07:45:45,2025-04-23 07:46:41.377,00:11:52,00:10:56,22103,974,raccordement cable communication,na,11.87,10.93,0.05,10.93,0.94,11.87,7.0,Matin,RACCORDEMENT CABLE COMMUNICATION
